Fragen,Antworten 

Private Nutzung von Telefonen,"Private Mobiltelefone dürfen nur in lautlosem Zustand zur Arbeit mitgebracht werden.

Nutzung ist ausschließlich in Pausenzeiten gestattet.

Dienstliche Mobiltelefone dürfen nur für berufliche Zwecke verwendet werden. Private Auslandstelefonate mit geschäftlichen Mobiltelefonen sind verboten.",,,,
Sonderurlaub,"Sonderurlaub wird bei bestimmten Ereignissen gewährt:

Vor Prüfung Teil 1: 1 Tag.  Zudem ist Auzubildender für den Tag der Prüfung freigestellt.

Vor der schriftlichen und mündlichen  Abschlussprüfung: 1 Tag.  Zudem ist Auszubildender für den Tag der Prüfung freigestellt.

Eigene Eheschließung: 2 Tage.

Eheschließung eines Angehörigen 1.Grades: 1 Tag.

Sterbefall eines Angehörigen 1. Grades: 5 Tage.

Umzug mit eigenem Hausstand: 1 Tag. (Änderung Adresse in Magellan hinterlegen, Bescheinigung an die Personalverwaltung schicken, IHK über neue Adresse informieren)

Nichtgebährender Elternteil bei Geburt eines Kindes: 2 Tage.

Mit Inanspruchnahme ist ein amtlicher Nachweis des auslösenden Ereignisses vorzulegen bzw. innerhalb von 14 Tagen nachzureichen.",,,,
Sonderurlaub beantragen,"Der Sonderurlaub muss in GFOS beantragt werden. Dieser wird im nächsten Schritt vom Young Talents Team genehmigt und zur Personalverwaltung weitergeleitet. Damit der Sonderurlaub offiziell genehmigt wird, muss ggf. eine Bescheinigung an die Personalverwaltung weitergeleitet werden (gfos@optadata-gruppe.de)",,,,
Sonderurlaub Prüfung,"Deinen Sonderurlaubstag für die Prüfung wird automatisch in GFOS als ""Berufsschultag"" hinterlegt. Deinen zusätzlichen Sonderurlaubstag zur Vorbereitung auf die Prüfung musst du selbstständig in GFOS beantragen. Der Tag muss zeitnah zum Prüfungstermin genommen werden.",,,,
Sonderurlaub Umzug,Bitte sende im Nachgang eine Kopie deiner Meldebescheinigung an die Personalverwaltung (gfos@optadata-gruppe.de).,,,,
Sonderurlaub Sterbefall,Bitte sende im Nachgang eine Kopie deiner Sterbeurkunde an die Personalverwaltung (gfos@optadata-gruppe.de).,,,,
Sonderurlaub Eheschließung,Bitte sende im Nachgang eine Kopie der Eheurkunde an die Personalverwaltung (gfos@optadata-gruppe.de).,,,,
"Zwischenprüfung, Prüfung Teil 1 und  Abschlussprüfung","Zwischenprüfung:
 Auszubildende sind lediglich für die Dauer der Prüfung vom Betrieb freigestellt, nicht für den gesamten Tag. Die restliche Arbeitszeit muss im Betrieb gearbeitet werden

Prüfung Teil 1:  
Prüfung ist notenrelevant. Auszubildenden steht vor der Prüfung 1 Tag Sonderurlaub zu.  Auszubildende sind für den Tag der Prüfung freigestellt.

Abschlussprüfung:
 Auszubildenden steht vor der schriftlichen und mündlichen Prüfung jeweils 1 Tag Sonderurlaub zu. 
 Auszubildende sind für den Tag der Prüfungen freigestellt.
 Prüfungsurkunde und Bestätigung der IHK muss dem/der Ausbilder:in direkt nach der Prüfung  als Kopie vorgelegt werden. 
Bei Nichtbestehen der Abschlussprüfung muss direkt eine Info an das Young Talents Team erfolgen und es muss ebenfalls mitgeteilt werden, ob das Ausbildungsverhältnis fortgesetzt werden soll.",,,,
Nicht-Bestehen der Abschlussprüfung,"Solltest du deine Prüfung nicht bestehen, musst du dich direkt bei dem Young Talents Team melden und ebenfalls melden, ob du deine Ausbildung fortsetzen möchtest. Wenn du deine Ausbildung fortsetzen möchtest wird dann dein Vertrag verlängert.
Die Abschlussprüfung kannst du ingesamt zwei Mal wiederholen und somit die Ausbildung um max. 1 Jahr verlängern. ",,,,
Ausbildungsnachweise/ Berichtsheft,"Das Berichtsheft wird ebenfalls Ausbildungsnachweise genannt.
Das Führen der Ausbildungsnachweise sind verpflichtend und müssen monatlich in unserem System Guidecom geführt werden.
Sie müssen ordnungsgemäß und lückenlos geführt werden.

Das Bearbeitet der Berichtshefte sind Bestandteil der Arbeitszeit & müssen regelmäßig dem/der Ausbildungsbeauftragten vorgelegt werden - passiert automatisch im System sobald das Berichtsheft abgesendet wird.

Das lückenlose Führen der Ausbildungsnachweise ist Voraussetzung für die Zulassung zur Abschlussprüfung.",,,,
Beurteilungen & Feedbackgespräche,"Regelmäßige Beurteilungen finden statt:

Zunächst in der Lernwerkstatt (gilt für die IT-Auszubildenden).

In den Rundlaufstationen.

 Zum Ende einer jeden Rundlaufstation sollte zwischen Ausbildungsbeauftragter/m und Auszubildener/m/DS ein Feedbackgespräch stattfinden. 

Beurteilungen  werden im System Guidecom digital erfasst. Eine Beurteilung muss sowohl der/die  Ausblidungsbeauftragte, als auch der/die Auszubildende/DS eintragen.

 Die Beurteilung in Guidecom ist erst für einen sichtbar, sobald beide Parteien sie abgeschickt haben und sie vom Young Talents Team freigegeben wird.
",,,,
Ende der Ausbildung,"Laut SGB III § 38 bist du verpflichtet, dich spätestens drei Monate vor Ausbildungsende bei der Agentur für Arbeit arbeitssuchend zu melden.

Solltest du bereits einen Arbeitsvertrag zur Weiterbeschäftigung vorliegen haben, brauchst du dies nicht tun.",,,,
,,,,,
Wie schreibe ich eine richtige Abwesenheitsnotiz: ,"Für Intern eine Vorlage: 



Liebe Kollegin, lieber Kollege,


vielen Dank für deine Nachricht.


Ich bin bis einschließlich XX.XX.XXXX nicht im Haus. Meine E-Mails werden nicht automatisch weitergeleitet.



Wende dich bei Fragen bitte an XY (Tel., m.mustermann@optadata-gruppe.de).



Ab dem XX.XX.XXXX stehe ich dir wieder wie gewohnt zur Verfügung.

Diese Abwesenheitsnachricht wird innerhalb von 24 Stunden einmal gesendet.

Besten Dank.

Mit freundlichen Grüßen 

 

i. A. Max Mustermann

 

- Singnatur - 



 

-------

Für Extern eine Vorlage: 

Sehr geehrte Damen und Herren,

vielen Dank für Ihre Nachricht.

Ich bin bis einschließlich XX.XX.XXXX nicht im Haus. Meine E-Mails werden nicht automatisch weitergeleitet.



Wenden Sie sich bei Fragen bitte an XY (Tel., m.mustermann@optadata-gruppe.de)



Ab dem XX.XX.XXXX stehe ich Ihnen wieder wie gewohnt zur Verfügung.

Diese Abwesenheitsnachricht wird Ihnen innerhalb von 24 Stunden einmal gesendet.

Besten Dank.

Mit freundlichen Grüßen 

 

i. A. Max Mustermann

 

- Signatur -",,,,
"Krankmeldung, Wie melde ich mich Krank ? ","Krankmeldung ohne Arbeitsunfähigkeitsbescheinigung:

Guten Morgen zusammen,



hiermit möchte ich euch darüber informieren, dass ich heute am XX.XX.XXXX aus gesundheitlichen Gründen nicht auf der Arbeit/der Berufsschule erscheinen kann. Ich werde keinen Arzt aufsuchen.



Sollte sich der Zustand nicht verbessern, werde ich mich erneut bei euch melden.



Viele Grüße,

X

----

Krankmeldung mit Arbeitsunfähigkeitsbescheinigung:

Guten Morgen zusammen,



hiermit möchte ich euch darüber informieren, dass ich vom Arzt für folgenden Zeitraum arbeitsunfähig geschrieben wurde:



Beginn der Arbeitsunfähigkeit: XX.XX.2023



Ende der Arbeitsunfähigkeit: XX.XX.2023



Viele Grüße,",,,,
,,,,,
,,,,,
Ergänzungen,,,,,
Umgang mit dem Mitarbeiterausweis,"Die Weitergabe des Mitarbeiterausweises an Dritte ist verboten.

Der Ausweis muss immer sichtbar bei sich geführt werden.

Der Verlust des Ausweises muss umgehend bei der Personalverwaltung gemeldet werden. Ein neuer Mitarbeiterausweis kann über Guidecom unter ""Service"" beantragt werden.",x,,,
Besuch von externen Personen,"Nur erlaubt, wenn ein konkretes geschäftsbezogenes Anliegen vorliegt.

Müssen zuvor am Empfang angemeldet werden.

Betriebsfremde Personen müssen auf dem Gelände begleitet werden & einen Gastausweis offen bei sich tragen.

Datenschutzverstöße düfen keinesfalls zugelassen werden.",,,,
Parkplätze,"Über Guidecom kann man einen Parkplatz/Parkausweis anmieten/beauftragen.

Parkhaus am Campus: Mitarbeiter, die einen Parkplatz angemietet haben, erhalten einen Parkausweis für die Schranke. Im Parkhaus selbst gilt weitgehend freie Parkplatzwahl.

Parkplatz BBB461/459: Mitarbeiter haben ebenfalls die Möglichkeit, einen Parkplatz auf dem Gelände anzumieten. 

Gekennzeichnete Besucherparkplätze stehen ausschließlich für Externe zur Verfügung.",,,,
Konsum von Alkohol und Drogen,"Der Genuss von alkoholischen Getränken und der Konsum von Drogen ist am Arbeitsplatz und auf dem Gelände während der Arbeitszeit verboten.

Es ist verboten, im alkoholisierten oder rauschbedingtem Zustand zur Arbeit zu erscheinen.

Nur bei besonderen Anlässen darf der Betrieb den Konsum von Alkohol in gemäßigten Mengen gewähren.

Vom Verbot ausgenommen sind ärztlich verordnete Medikamente und der Konsum von Tabak  in den ausgewiesenen Bereichen.",,,,
Azubi-Veranstaltungen und Schulungen,"Auszubildende/DS müssen für Young Talents Veranstaltungen und Schulungen von ihrer jeweiligen Abteilung freigestellt werden. 

Die entsprechenden Termine werden frühzeitig bekannt gegeben.",,,,
Klassenarbeiten und Zeugnisse,"Klassenarbeiten müssen  spätestens  14 Tage nach Rückerhalt  in Magellan eingetragen und hochgeladen werden.

Zeugnisse müssen unverzüglich und unaufgefordert nach Erhalt am darauffolgenden Arbeitstag im Original bei den Ausbildern abgegben werden.
Nach Unterschrift durch den/die Ausbilder:in müssen die Zeugnisse in Magellan eingetragen und hochgeladen werden.

Lediglich die Ausbilder:innen haben Einsicht in Zeugnisse und Klassenarbeiten.",,,,
Signaturvorlage,"Mit freundlichen Grüßen

i.A. Max Mustermann
- Auszubildender/ Dualer Student  *Beruf* | Einsatzort -
opta data Stiftung & Co. KG
Berthold-Beitz-Boulevard XXX
45141 Essen
m.mustermann@optadata-gruppe.de",,,,
WLAN,"WLAN für Mitarbeiter:innen und Besucher:innen

Netzwerkname: ddd

Passwort: yUVxnsfZ7c9v",,,,
Mitarbeiterschulungen (Brandschutz; u.Ä.),"Digitale Mitarbeiterschulungen wie bspw. Brandschutz- oder Geldwäsche-Präventionsschulungen müssen unbedingt in regelmäßigen Abständen durchgeführt und die Nachweise in Magellan hochgeladen werden.

Die Durchführung zählt zur Arbeitszeit und kann individuell am Arbeitsplatz erfolgen.",,,,
Nebentätigkeit,Einer entgeltlichen Nebentätigkeit eines Auszubildenden muss der Arbeitgeber im vorhinein zustimmen.,,,,
Probezeit,"Bei Auszubildenden gelten die ersten 4 Monate als Probezeit,  bei Dualstudierenden gelten die ersten 6 Monate als Probezeit. Innerhalb der Probezeit kann das Arbeitsverhältnis beidseitig mit einer Frist von zwei Wochen gekündigt werden.",,,,
Ich habe keine Berechtigung die Tür zu meiner neuen Umlaufabteilung zu öffnen - an wen muss ich mich wenden?,"Bitte dafür an den Ausbildungsbeauftragten der jeweiligen neuen Abteilung wenden. Die Berechtigung zur Öffnung der Tür muss von den Ausbildungsbauftragten über Magellan unter ""Service"" beauftragt/angefragt werden.",,,,
Ausbildung verkürzen,"Generell kann die Ausbildung verkürzt werden. Wichtig ist hierbei, dass man eine entsprechende Fachhochschulreife oder allg. Hochschulreife und /oder sehr gute Noten. Dies kannst du mit dem Young Talents Team (Luisa, Julia, Isabel) abstimmen",,,,
Wie kann ich meine Gehaltsabrechnungen einsehen,Teams> odNet> VRG/Gehaltsabrechnung> 000Mitarbeiternummer> Passwort zurücksetzen> Neu anmelden mit Benutzername: 000Mitarbeiternummer Passwort: eigenes Passwort. ,,,,
VPN,"Für den Zugriff auf M365 ist  keine aktive VPN-Verbindung notwendig. Für den Zugriff auf Systeme wie  GFOS, EVA3, etc. ist allerdings eine aktive VPN-Verbindung mit unserem Firmennetz über den Cisco Secure Client notwendig (gilt für remote work / home office).",,,,
Home Office,"Home Office ist mit den jeweiligen Abteilungen, in denen man sich befindet, abzustimmen.",,,,
Ansprechpartner ,"Personalverwaltung: alles rund um Gehalt/ bei Dualen Studenten auch in Richtung Mehrarbeit in den Semesterferien.

Probleme mit GFOS: gfos@optadata-gruppe.de

IT-Service Desk: 15555",,,,
,,,,,
,,,,,
FOM ( Nur in Verbindung mit Dualen BBA Studenten) ,,,,,
Klausuren anmelden/abmelden/nachschreiben/Einsicht/etc.,"Zu Klausuren muss sich selbstständig über den online Campus an- und abgemeldet werden, dies geschieht nicht automatisch!

Prüfungstermine werden bei der Prüfungsanmeldung angezeigt.

Bei Klausuren gilt im Regelfall: Eine Anmeldung zu Klausuren, sowie eine Abmeldung ohne Anrechnung eines Fehlversuches von dieser Prüfungsleistung ist bis 7 Tage vor dem Klausurtermin möglich.

An -und Abmeldefristen bei sonstigen Prüfungsleistungen und Abgaben (Seminararbeiten, Projekten, etc.) werden häufig individuell vom betreuenden Dozenten festgelegt.

Krank am Tag der Klausur: 
Senden eines Nachweises über die Prüfungsunfähigkeit innerhalb von 3 Werktagen nach dem Prüfungstermin an pruefungsunfaehigkeit@bcw-gruppe.de notwendig.
Samstag gilt auch als Werktag.
Eine Arbeitsunfähigkeit reicht nicht aus, es wird zusätzlich eine Prüfungsunfähigkeit benötigt.

Wiederholungsprüfungen: Eine Übersicht über die Kalenderwochen  & ggf. Wochentage findet man über das Info-Icon im Modulbereich im Studienverlauf.

Klausureinsicht: Information, ob eine Prüfung zur Einsicht vorliegt, können den Prüfungstermindetails entnommen werden. Hier findet man auch den Einsichtszeitraum. Fehlt dieser Eintrag, ist zum aktuellen Zeitpunkt keine Einsicht möglich.
",,,,
Kurse anrechnen lassen,"Vorleistungen aus vorherigen Studiengängen, einer Ausbildung oder beruflichen Fortbildungen können unter bestimmten Voraussetzungen angerechnet werden.

Bei Fragen auf die Studienberatung zugehen.

Eine Anrechnung ist möglich, solange noch keine Prüfungsleistung im jeweiligen Modul erbracht wurde.

Anrechnungsmöglichkeiten prüfen lassen: Unterlagen (Zeugnis/Urkunde/Zertifikat; Modul-/Fachbeschreibungen; Leistungsnachweise) eingescannt per E-Mail an studienberatung@fom.de.

Weitere Details im online Campus. (Link?)
",,,,
FOM online Campus,"Den digitalen online Campus gibt es sowohl als Browservision als auch als App.

Dort findet man alle Informationen rund um die Hochschule und das eigene Studium: u.a. Vorlesungsstundenpläne; Prüfungsdetails; Modulmaterialien zum herunterladen; Literatur; uvm.

Unter dem Reiter Hilfe & Kontakt umfangreiches FAQ zu viel gestellten Fragen.
Unter dem Reiter Studienverlauf & Prüfungen alle prüfungsrelevanten Informationen.",,,,
Semesterstart/-ende,"Standort Essen Zeitmodell Tagesstudium:

Start Wintersemester (WS): 1. September

Start Sommersemester (SS): 1. Februar

Vorlesungsfreie Zeit: Februar; Juli + August",,,,
Studienberatung,"Unterstützt bei Fragen rund um das Studium, die Studienorganisation und persönlichen Anliegen. 

Erreichbar unter (Standort Essen):
Telefonisch: 0800 1 95 95 95 (Mo.-Fr. 08:00-19:00 und Sa. 07:30-14:00)
E-Mail: studienberatung@fom.de
Whatsapp: 0151 42267805 (Mo.-Fr. 09:30-18:00)

oder vor Ort im Hochschulzentrum (Herkulesstraße 32, 45127 Essen).
",,,,
20h-Modell ,"Wöchentliche Arbeitszeitzdauer während des Dualen Studium im Zeitmodell Tagesstudium beträgt 20 Stunden ausschließlich der Pausen aufgeteilt auf 3 Tage in der Woche.

2 Tage in der Woche sind fest  vorgesehene Unitage, an denen Vorlesungen stattfinden. Auch Samstag kann ein fester Vorlesungstag sein.

Der Betrieb berücksichtigt die Lage der (Pflicht-)Veranstaltungen der Hochschule und dem Lehrplan gemäß §106 GewO.

Die Verteilung der Stunden auf die Wochenarbeitstage liegt beim Studierenden selbst, muss aber mit den jeweiligen Abteilungen und den Ausbilder:innen kommuniziert und abgestimmt  werden.

Innerhalb der vorlesungsfreien Zeit ist eine wöchentliche Arbeitszeit von bis zu 40 Stunden möglich, aber nicht verpflichtend. Eine Anfrage muss mit einer Vorlaufzeit von einem Monat im Betrieb (Ausbildungsbeauftragter und Personalverwaltung) gestellt werden.",,,,
Literaturrecherche,Den Studierenden stehen zur Literaturrcherche sowohl die Hochschulbibliothek als auch digitale Datenbanken im online Campus zur Verfügung.,,,,
Urlaub / Bildungsurlaub,"Urlaubsanspruch (1,5 Tage pro Monat im 20/20-Modell): 
Studienstart (Sept.-Dez.): 6 Tage
Jan.-Dez.: 18 Tage

Urlaubsanspruch kann sich erhöhen, wenn in Semesterferien Vollzeit gearbeitet wird.

Bildungsurlaub: 5 Tage",,,,
Buddys,Phil Hüttenrauch und Mai-Helen Angerer,,,,
"Was ist, wenn ich mein Studium nicht in Regelstudienzeit beende? / Studienzeitverlängerung","IT: wende dich an Luisa Geveler und deinen Ansprechpartner in deiner Abteilung
Business Administration: wende dich an Luisa Geveler",,,,
Leistungsnachweise,Leistungsnachweise sind zum Ende jedes Semesters hin gesammelt in Magellan einzutragen und hochzuladen. ,,,,
Auslandsaufenthalte,,,,,
Spezialisierung,Dazu ist eine individuelle Abstimmung mit Luisa Geverler notwendig.,,,,

